No,Title,Type,BodyPart,Equipment,Level,Rating
218,Leg Pull-In,Strength,Waist,Body Only,Beginner,7.4
219,Side Jackknife,Strength,Waist,Body Only,Intermediate,7.3
619,Dumbbell suitcase crunch,Strength,Waist,Medicine Ball,Intermediate,9.0
637,Decline oblique crunch,Strength,Waist,,Intermediate,8.5
640,Exercise Ball Pull-In,Strength,Waist,Exercise Ball,Intermediate,8.9
641,Exercise ball crunch,Strength,Waist,Exercise Ball,Intermediate,8.4
642,Feet-elevated crunch,Strength,Waist,Exercise Ball,Intermediate,7.3
643,Weighted Ball Side Bend,Strength,Waist,Exercise Ball,Beginner,6.4
204,Stomach Vacuum,Stretching,Waist,Body Only,Beginner,8.5
220,Scissor Kick,Stretching,Waist,Body Only,Intermediate,7.0
221,Toe Touchers,Stretching,Waist,Body Only,Intermediate,6.9
222,Lower Back Curl,Stretching,Waist,Body Only,Intermediate,6.5
223,Exercise ball torso rotation,Stretching,Waist,Body Only,Intermediate,5.0
224,Seated Overhead Stretch,Stretching,Waist,Body Only,Intermediate,4.7
225,Overhead Stretch,Stretching,Waist,Body Only,Intermediate,3.9
